Index,Line_breaks,Indents,Bolded,Italicized,Underlined,"DR/CR, Entered Accounts",Calculated_Accounts,Inherited_Accounts,账本名称,Account_name,Formula,_{t1},_{t0},Commentary
SCF_XRPLFXC,2,1,0,1,0,0,0,1,汇兑损益,Net gain(loss) from foreign exchange conversion,SCI_OCI_XRPLFXC,,,"actual realized, connected to SCI_XRPLFXC"
,,,,,,,,,,,,,,
SCF_ΔXRCCE,1,1,0,1,0,0,1,1,现金及现金等价物的逐月汇兑损益,Effect of month-to-month exchange rate changes on cash and cash equivalents,(XR_CAD2HKD_{t1} - XR_{t0}) * (SFP_A_CCE_CAD_{t0}) + (XR_CNY2HKD_{t1} - XR_{t0}) * (SFP_A_CCE_CNY_{t0}) + (XR_USD2HKD_{t1} - XR_{t0}) * (SFP_A_CCE_USD_{t0}),,,should be change in XR multiplied by last period's CCE
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCF_NΔCCE,2,0,1,0,0,0,1,0,现金及现金等价物增加（减少）净额,Net increase(decrease) in CCE,SCF_OA + SCF_FA + SCF_XRPLFXT + SCF_ΔXRCCE,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCNAV,4,0,1,0,1,-,-,-,基金净值变动表,Statement of Changes in Net Assets,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCNAV_NABP,2,0,1,0,0,0,0,1,报告期初属于拥有赎回权的所有者的净资产,Net Assets attributable to redeemable participating shareholders at the beginning of period,SCNAV_NAEP_{t0},,,Last period's SCNAV_NAEP
,,,,,,,,,,,,,,
SCNAV_SUB,1,1,0,1,0,0,1,0,认购,Subscriptions,,,,
SCNAV_SUB_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCNAV_SUB_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCNAV_SUB_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCNAV_SUB_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCNAV_SUB_S,1,2,0,0,0,1,1,0,认购股份,Shares subscribed,,,,
,,,,,,,,,,,,,,
SCNAV_RED,1,1,0,1,0,0,1,0,赎回,Redemptions,,,,
SCNAV_RED_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCNAV_RED_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCNAV_RED_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCNAV_RED_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCNAV_RED_S,1,2,0,0,0,1,1,0,赎回股份,Shares redeemed,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCNAV_ΔNAFO,2,1,0,1,0,0,0,1,属于拥有赎回权的所有者的净资产增加（减少）额,Increase (Decrease) in net assets attributable to holders of redeemable shares from operations,SCI_PFOA_ΔNAAT,,,"Taken from bottom of SCI, already includes effect of currency conversions"
,,,,,,,,,,,,,,
